// Compost colors for beemastery. You may add your own colors, change existing ones, or remove colors that aren't needed.
aura_belt, #3e2f25
aura_charm_draconic, #703029
aura_charm_harvest, #795a2c
aura_charm_legendary, #4b6b86
aura_charm_mutagenic, #476432
aura_charm_witheria, #3a3941
frame_bronze, #725b3d
frame_coal, #725b3d
frame_copper, #725b3d
frame_diamond, #725b3d
frame_draconic, #725b3d
frame_electrum, #725b3d
frame_emerald, #725b3d
frame_gold, #725b3d
frame_invar, #725b3d
frame_iron, #725b3d
frame_lead, #725b3d
frame_legendary, #725b3d
frame_mutation, #725b3d
frame_ranch, #725b3d
frame_reinforced, #725b3d
frame_silver, #725b3d
frame_steel, #725b3d
frame_tin, #725b3d
frame_witheria, #725b3d
grafter_draconic, #50230f
grafter_legendary, #473729
grafter_reinforced, #654b2d
ingot_draconic, #573420
ingot_legendary, #484646
ingot_mutated_iron, #505a2a
ingot_reinforced, #796544
ingot_witheria, #504447
nugget_draconic, #6f341c
nugget_legendary, #624e37
nugget_mutated_iron, #514e2a
nugget_reinforced, #795f3e
nugget_witheria, #443a40
propolis_draconic, #68331f
propolis_legendary, #443d55
propolis_mutated, #5e7922
propolis_reinforced, #9b8250
propolis_witheria, #4b4648
scoop_draconic, #4e3018
scoop_legendary, #57472f
scoop_reinforced, #725b2f
stick_bronze, #fb8e4d
stick_coal, #696969
stick_copper, #dc9108
stick_diamond, #696969
stick_draconic, #696969
stick_electrum, #fff7f7
stick_emerald, #696969
stick_gold, #696969
stick_invar, #dcc8c8
stick_iron, #696969
stick_lead, #bf0bbf
stick_legendary, #696969
stick_mutated_iron, #696969
stick_obsidian, #696969
stick_reinforced, #696969
stick_silver, #dcc8c8
stick_steel, #ac9e9e
stick_tin, #d7caca
stick_witheria, #696969
