// Compost colors for enchanted. You may add your own colors, change existing ones, or remove colors that aren't needed.
alder_sapling, #789b50
anointing_paste, #65a5a5
armour_poppet, #e4c8cd
arthana, #b6bf61
attuned_stone, #be8cfc
attuned_stone_charged, #fb94d7
belladonna_flower, #9497a1
belladonna_seeds, #836b89
blood_poppy, #c67a5a
blooded_waystone, #a8837f
bone_needle, #f2f1d4
bound_waystone, #bca570
breath_of_the_goddess, #9e6548
brew_of_love, #fcd9ff
brew_of_sprouting, #c5acae
brew_of_the_depths, #8ca4d9
brew_of_the_grotesque, #abacb2
broom, #64411f
circle_talisman, #ffff80
clay_jar, #b5644d
condensed_fear, #cc9175
creeper_heart, #6fc56c
demonic_blood, #c25544
diamond_vapour, #b1846f
drop_of_luck, #a05e4b
earmuffs, #a07062
earth_poppet, #ccac8d
ember_moss, #f4914a
enchanted_broomstick, #724d23
ender_dew, #8e6c57
ent_twig, #483614
exhale_of_the_horned_one, #915846
fire_poppet, #e4aba2
flying_ointment, #fcffdc
focused_will, #bf7350
foul_fume, #c3784a
fume_filter, #623980
garlic, #fffffa
ghost_of_the_light, #f2ffff
glint_weed, #84c246
golden_chalk, #ffff51
gypsum, #ffffff
happenstance_oil, #afa2bf
hawthorn_sapling, #a5a755
hint_of_rebirth, #986e48
hunger_poppet, #deb8ab
icy_needle, #d9ffff
infernal_animus, #cd97a8
infused_armour_poppet, #e4cdd2
infused_earth_poppet, #cab291
infused_fire_poppet, #e3b2a8
infused_hunger_poppet, #ddbfb2
infused_magic_poppet, #deabb1
infused_poppet, #e3b6b1
infused_tool_poppet, #c9aea0
infused_void_poppet, #737a83
infused_voodoo_protection_poppet, #dab4ac
infused_water_poppet, #c8b2b2
magic_poppet, #e0a8ae
mandrake_root, #4d3629
mandrake_seeds, #ffffff
mellifluous_hunger, #b6735b
mutandis, #b5c6b4
mutandis_extremis, #deaeab
mystic_unguent, #a4beb9
nether_chalk, #da0000
odour_of_purity, #b88787
oil_of_vitriol, #9b5744
otherwhere_chalk, #8d00da
poppet, #e4afaa
purified_milk, #c68976
quicklime, #e1e1e1
redstone_soup, #ffbbcd
reek_of_misfortune, #c98775
refined_evil, #4d4646
ritual_chalk, #ffffff
rowan_berries, #a11f1b
rowan_sapling, #6c7248
snowbell_seeds, #e4ffff
soft_clay_jar, #a1aac3
soul_of_the_world, #c8ffd4
spanish_moss, #729850
spirit_of_otherwhere, #eeb9ff
sturdy_armour_poppet, #e4c8cd
sturdy_earth_poppet, #cab694
sturdy_fire_poppet, #e4b5ab
sturdy_hunger_poppet, #e0bfb4
sturdy_magic_poppet, #e0acb1
sturdy_poppet, #e4b9b2
sturdy_tool_poppet, #caab9e
sturdy_void_poppet, #728286
sturdy_voodoo_protection_poppet, #e1c2b5
sturdy_water_poppet, #c9aeaf
taglock, #e6cfd6
taglock_kit, #e4eaf2
tear_of_the_goddess, #a76b73
tongue_of_dog, #a41816
tool_poppet, #caa79a
void_poppet, #72787d
voodoo_poppet, #e1b9ae
voodoo_protection_poppet, #dcafaa
water_artichoke, #3c9387
water_artichoke_seeds, #8d8276
water_poppet, #c9acac
waystone, #8d8a8a
whiff_of_magic, #ca8775
wolfsbane_flower, #fffa6f
wolfsbane_seeds, #b1a09b
wood_ash, #756254
wool_of_bat, #7a624d
