// Compost colors for forestry. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_desert_boat, #909e75
acacia_desert_chest_boat, #8e8a5a
acacia_desert_door, #bfd7a4
acacia_desert_hanging_sign, #9bb28c
acacia_desert_sign, #a0b68d
amber, #ffa439
amber_drone, #ffa139
amber_sapling, #ffa83c
ambrosia, #fffff2
apatite, #5cb9f8
apiarist_boots, #fff5ff
apiarist_chest, #ffffdc
apiarist_helmet, #ede0c0
apiarist_legs, #ffffdc
ash, #555454
axe_kit, #e0b268
balsa_boat, #c0b5a5
balsa_chest_boat, #ac9778
balsa_door, #e7ddd3
balsa_hanging_sign, #cfc6bf
balsa_sign, #d6cdc5
baobab_boat, #868757
baobab_chest_boat, #897c47
baobab_door, #939d66
baobab_hanging_sign, #8d9669
baobab_sign, #a0a069
beech_boat, #f8bb97
beech_chest_boat, #cf9a6c
beech_door, #f1b594
beech_hanging_sign, #eeb99b
beech_sign, #f5bc9a
beeswax, #ffd951
bituminous_peat, #72542f
brick_ash, #c9c3c2
brick_refractory_wax, #fa5065
brick_wax, #ffff7c
broken_axe, #c89336
broken_bronze_pickaxe, #b6842a
broken_bronze_shovel, #c29036
broken_hoe, #a57929
broken_sword, #e8a736
bronze_axe, #c9973a
bronze_hoe, #aa7f30
bronze_pickaxe, #be8c33
bronze_shovel, #c99d46
bronze_sword, #f1b444
carton, #e3b46c
catalogue, #97b5fb
caterpillar_ge, #ffffff
chestnut_boat, #a79450
chestnut_chest_boat, #9e8443
chestnut_door, #bcae5a
chestnut_hanging_sign, #b6aa5f
chestnut_sign, #b1a254
circuit_board_basic, #6c915b
circuit_board_enhanced, #7c8a4a
circuit_board_intricate, #939b4a
circuit_board_refined, #839462
citrus_boat, #a5aa26
citrus_chest_boat, #9b9028
citrus_door, #b8c530
citrus_hanging_sign, #b2be2f
citrus_sign, #b4be26
cocobolo_boat, #540012
cocobolo_chest_boat, #6e291b
cocobolo_door, #690512
cocobolo_hanging_sign, #5c0a15
cocobolo_sign, #5f0b18
coconut_boat, #78442d
coconut_chest_boat, #82522c
coconut_door, #af7534
coconut_hanging_sign, #845540
coconut_sign, #8d583e
crate, #c99e5c
decaying_wheat, #5c4129
dissipation_charge, #e1dac3
dogwood_boat, #dc9379
dogwood_chest_boat, #be835b
dogwood_door, #eaa78e
dogwood_hanging_sign, #d99b84
dogwood_sign, #de9e86
ebony_boat, #443c30
ebony_chest_boat, #5f4b2d
ebony_door, #9b863e
ebony_hanging_sign, #44403c
ebony_sign, #4a4136
electron_tube_amber, #ffb570
electron_tube_apatite, #d6e8ff
electron_tube_blaze, #ffca94
electron_tube_bronze, #ffd6ff
electron_tube_copper, #ffbfed
electron_tube_diamond, #deedff
electron_tube_emerald, #cae6ff
electron_tube_ender, #7c87a1
electron_tube_gold, #ffe4ee
electron_tube_iron, #fbe0ff
electron_tube_lapis, #c8bbff
electron_tube_obsidian, #5a476f
electron_tube_silicon, #b8c9dd
electron_tube_tin, #f2d9ff
elm_boat, #e7cd82
elm_chest_boat, #c5a75f
elm_door, #f2d780
elm_hanging_sign, #e3cc82
elm_sign, #e6cd7f
experience_drop, #e1ff94
feijoa_boat, #fff5be
feijoa_chest_boat, #d6be84
feijoa_door, #ffffbe
feijoa_hanging_sign, #fff4c6
feijoa_sign, #fff7c3
fertilizer_bio, #68580a
fertilizer_compound, #66b2dd
fir_boat, #fcdad0
fir_chest_boat, #d2ae8e
fir_door, #ffe6d6
fir_hanging_sign, #f7dacc
fir_sign, #fee0d3
flexible_casing, #5fbc55
foresters_manual, #a45e4b
frame_creative, #8715af
frame_impregnated, #e08cee
frame_proven, #dc83ed
frame_untreated, #cd8ebc
fruit_cherry, #a8250e
fruit_chestnut, #984d3d
fruit_coconut, #70503d
fruit_dates, #762925
fruit_feijoa, #87c069
fruit_lemon, #ffeb12
fruit_olive, #c2e344
fruit_orange, #ffa130
fruit_papaya, #f4d72f
fruit_pear, #f5eb33
fruit_plum, #7c3a4b
fruit_walnut, #b66946
gear_bronze, #ffc248
gear_copper, #f88762
gear_iron, #b2b2b2
gear_tin, #d7ebfe
giganteum_boat, #6b392a
giganteum_chest_boat, #76482a
giganteum_door, #6c342d
giganteum_hanging_sign, #6f3c34
giganteum_sign, #753628
ginkgo_boat, #ffed9a
ginkgo_chest_boat, #e0b96f
ginkgo_door, #fff8aa
ginkgo_hanging_sign, #ffeba8
ginkgo_sign, #fffbb1
grafter, #fc9dff
grafter_proven, #faa0ff
greenheart_boat, #547050
greenheart_chest_boat, #686e43
greenheart_door, #4d7a5a
greenheart_hanging_sign, #578064
