// Compost colors for mobees. You may add your own colors, change existing ones, or remove colors that aren't needed.
aluminum_bit, #d7e0e3
apatite_bit, #62d2ff
arcane_wax, #cf7fa4
certus_bit, #d7ffff
coal_bit, #333036
cobalt_bit, #1672ee
copper_bit, #ff9e78
diamond_shard, #70ffff
emerald_shard, #32ff72
frame_crimson, #b13d4a
frame_destruction, #fffff8
frame_fertile, #aba75f
frame_kind, #f4b9ae
frame_mutation, #beed70
frame_preservation, #c9d4e1
gold_bit, #ffff5a
iron_bit, #dadada
lead_bit, #6b739a
mutagen, #a0d261
mutation_catalyst, #aad6c2
netherite_bit, #875c51
nickel_bit, #ffffc0
osmium_bit, #e4f5ff
silver_bit, #b9cad9
soul_wax, #82c9ee
tin_bit, #eafeff
wither_skull_bit, #ffffff
wither_skull_partial, #ffffff
yellorium_bit, #ffff91
zinc_bit, #b6e3c3
